competitor,country,position,run,final_score,judge1_country,judge1_score,judge2_country,judge2_score,judge3_country,judge3_score,judge4_country,judge4_score,judge5_country,judge5_score,judge6_country,judge6_score,trick1,trick2,trick3,trick4,trick5,medal,notes
Ziyang WANG,CHN,3,1,17.75,SLO,18,GBR,17,SWE,17,SUI,18,FRA,19,JPN,18,Cab-TC-14-Ddr,f-DC-16-Tg,,,9TH,Judge 2 and 5 excluded
Ziyang WANG,CHN,3,2,17.25,SLO,18,GBR,17,SWE,17,SUI,17,FRA,18,JPN,17,Cab-TC-14-Ddr,f-DC-16-Tg,f-7-I,,9TH,Judge 2 and 5 excluded
Ziyang WANG,CHN,3,3,76.00,SLO,76,GBR,76,SWE,76,SUI,76,FRA,77,JPN,76,Cab-TC-14-Ddr,f-DC-16-Tg,b-DC-12-Mu,f-DC-14-I,Cab-DC-14-Mu,9TH,Judge 5 excluded
Alessandro BARBIERI,USA,9,1,75.00,SLO,75,GBR,74,SWE,75,SUI,75,FRA,76,JPN,75,x-b-DC-12-Mu,Cab-TC-14-Ddr,f-DC-12-I,b-DC-12-Ng,f-DC-10-Tdr,10TH,Judge 2 and 5 excluded
Alessandro BARBIERI,USA,9,2,DNI,SLO,,GBR,,SWE,,SUI,,FRA,,JPN,,x-b-DC-12-Mu,Cab-TC-14-Ddr,f-DC-12-I,,f-DC-12-I,10TH,Did not improve
Alessandro BARBIERI,USA,9,3,DNI,SLO,,GBR,,SWE,,SUI,,FRA,,JPN,,x-b-DC-12-Mu,Cab-TC-14-Ddr,f-DC-12-I,b-DC-16-Ng,,10TH,Did not improve
Chase JOSEY,USA,2,1,11.75,SLO,15,GBR,10,SWE,12,SUI,12,FRA,10,JPN,13,Cab-DC-12-I-to-Me,x-D-CF-Me,,,,11TH,Judge 1 and 2 excluded
Chase JOSEY,USA,2,2,70.25,SLO,70,GBR,70,SWE,70,SUI,70,FRA,71,JPN,71,Cab-DC-12-I-to-Me,x-D-CF-Me,Cab-DC-10-Mu,f-DC-12-Ste,D-CF-Ng,11TH,Judge 1 excluded
Chase JOSEY,USA,2,3,DNI,SLO,,GBR,,SWE,,SUI,,FRA,,JPN,,Cab-DC-12-Mu-to-St,x-D-CF-Me,Cab-DC-10-Mu,f-DC-12-Ste,bs-A,11TH,Did not improve
Campbell MELVILLE IVES,NZL,5,1,43.00,SLO,43,GBR,42,SWE,45,SUI,40,FRA,45,JPN,42,Cab-TC-14-Ddr,b-D-AO-Rd-9-Me,b-DC-12-Mu,f-TC-14-Tdr,x-b-D-AO-Rd-9-Me,12TH,Judge 4 and 5 excluded
Campbell MELVILLE IVES,NZL,5,2,DNI,SLO,,GBR,,SWE,,SUI,,FRA,,JPN,,Cab-TC-14-Ddr,b-D-AO-Rd-9-Me,b-DC-12-Mu,f-TC-14-Tdr,x-b-D-AO-Rd-9-Me,12TH,Did not improve
Campbell MELVILLE IVES,NZL,5,3,DNI,SLO,,GBR,,SWE,,SUI,,FRA,,JPN,,Cab-TC-14-Ddr,b-D-AO-Rd-9-Me,b-DC-12-Mu,f-TC-14-Tdr,,,12TH,Did not improve
